ztrobin5,Virginia Cavaliers,virginia,1/11/2016 22:59
ztrobin5,Clemson Tigers,clemson,1/11/2016 23:00
ztrobin5,Nebraska Cornhuskers,nebraska,1/11/2016 23:03
ztrobin5,Notre Dame Fighting Irish,notredame,1/11/2016 23:03
ztrobin5,Wisconsin Badgers,wisconsin,1/11/2016 23:12
ztrobin5,Virginia Cavaliers,virginia,1/12/2016 20:15
ztrobin5,Army West Point Black Knights,army,1/13/2016 21:32
ztrobin5,Virginia Cavaliers,virginia,1/13/2016 22:37
ztrobin5,Notre Dame Fighting Irish,notredame,1/13/2016 22:47
ztrobin5,Virginia Cavaliers,virginia,1/13/2016 22:55
Concision,Arizona Wildcats,arizona,1/13/2016 23:26
ztrobin5,Louisville Cardinals,louisville,1/14/2016 20:43
ztrobin5,Virginia Cavaliers,virginia,1/14/2016 22:09
ztrobin5,Virginia Cavaliers,virginia,1/14/2016 22:09
ztrobin5,VCU Rams,vcu,1/18/2016 20:58
ztrobin5,Virginia Cavaliers,virginia,2016-01-19 01:35:58
ztrobin5,Army West Point Black Knights,army,2016-01-19 01:42:25
ztrobin5,Virginia Cavaliers,virginia,2016-01-19 02:22:07
ztrobin5,Virginia Cavaliers,virginia,2016-01-19 02:37:14
ztrobin5,Bowling Green Falcons,bowlinggreen,2016-01-19 04:48:19
ztrobin5,Virginia Cavaliers,virginia,2016-01-21 15:41:57
